"address","zip_code","num_bed","num_bath","home_area","price"
"11812 Summer Ave, Norwalk",90650,3,2,1189,605000
"11419 Beaty Ave, Norwalk",90650,3,2,1105,636000
"11463 Beaty Ave, Norwalk",90650,3,1,1230,675000
"11231 Dalwood Ave, Norwalk",90650,3,2,1634,750000
"11413 Crossdale Ave, Norwalk",90650,3,1,995,590000
"11405 Elmcroft, Norwalk",90650,3,1,1335,665000
"11331 Elmcroft Ave, Norwalk",90650,3,1,1530,740000
"11312 Cresson St, Norwalk",90650,3,2,1281,710000
"11239 Hermes St, Norwalk",90650,4,2,1526,650000
"11218 Cecilia St, Norwalk",90650,3,1,1073,750000
"10829 Pluton St, Norwalk",90650,4,3,1760,660000
"11624 Leibacher Ave, Norwalk",90650,2,2,1484,740000
"11723 Leibacher Ave, Norwalk",90650,3,2,1406,739000
"10527 Downey Norwalk Rd, Norwalk",90650,4,2,1490,805
"10609 Downey Norwalk Rd, Norwalk",90650,3,2,1243,705000
"10642 Meadow Rd, Norwalk",90650,2,2,1014,750000
"12120 Newmire Ave, Norwalk",90650,3,1,1174,730500
"11818 Dalwood Ave, Norwalk",90650,4,2,1390,650000
"11822 Elmcroft Ave, Norwalk",90650,4,1,1358,735000
"11618 Fairford Ave, Norwalk",90650,3,1,1054,680000
"11623 Ringwood Ave, Norwalk",90650,3,2,1195,685000
"11247 Pantheon St, Norwalk",90650,3,1,1374,670000
"12006 Ringwood Ave, Norwalk",90650,4,3,1902,705
"11924 Gridley Rd, Norwalk",90650,3,1,1103,605000
"11375 Hercules St, Norwalk",90650,3,1,1438,620000
"11332 Hercules St, Norwalk",90650,3,1,1038,630000
"12076 Harvest Ave, Norwalk",90650,3,2,1376,730000
"12035 Gridley Rd, Norwalk",90650,4,1,1685,610000
"12143 Longworth Ave, Norwalk",90650,3,1,1124,805
"12032 Roseton Ave, Norwalk",90650,3,1,1381,743000
"12138 Maidstone Ave, Norwalk",90650,3,2,1349,755000
"12102 Maidstone Ave, Norwalk",90650,3,2,1436,715000
"12029 Jersey Ave, Norwalk",90650,3,2,1107,640000
"12215 Gard Ave, Norwalk",90650,3,1,1068,710000
"12425 Roseton Ave, Norwalk",90650,3,1,1139,715000
"12203 Roseton Ave, Norwalk",90650,3,2,1170,690000
"12302 Roseton Ave, Norwalk",90650,3,1,1149,715000
"12508 Roseton Ave, Norwalk",90650,3,1,1139,785000
"12523 Maidstone Ave, Norwalk",90650,3,1,1149,747000
"12329 Maidstone Ave, Norwalk",90650,3,2,1667,785000
"12522 Maidstone Ave, Norwalk",90650,4,2,1316,620000
"11603 Gem St, Norwalk",90650,3,1,1078,615000
"12317 Corby Ave, Norwalk",90650,5,2,1547,801000
"11717 Everest St, Norwalk",90650,3,1,1644,605
"11602 Gettysburg Dr, Norwalk",90650,4,2,1821,860000
"12016 Bombardier Ave, Norwalk",90650,2,1,768,615000
"12408 Volunteer Ave, Norwalk",90650,3,3,1903,675000
"11914 Volunteer Ave, Norwalk",90650,3,2,1113,745000
"12215 Aegean St, Norwalk",90650,3,2,1113,675000
"12318 Beaty Ave, Norwalk",90650,3,2,1427,740000
"12329 Aegean St, Norwalk",90650,3,2,1113,740000
"12227 Allard St, Norwalk",90650,3,2,1113,765000
"12226 Cyclops St, Norwalk",90650,3,2,1113,605
"12312 Everest St, Norwalk",90650,3,2,1205,770000
"13041 Miller Ave, Norwalk",90650,4,3,2234,885000
"13204 Greenstone Ave, Norwalk",90650,3,2,1614,780000
"12938 Belcher St, Norwalk",90650,3,1,1306,685000
"14013 Ben Nevis Ave, Norwalk",90650,3,2,1236,678000
"12952 Rosecrans Ave, Norwalk",90650,3,2,1063,705
"14502 Loch Nevis Ave, Norwalk",90650,3,2,1445,553500
"14409 Greenstone Ave, Norwalk",90650,3,1,1094,630000
"14030 Mayport Ave, Norwalk",90650,3,1,1716,755000
"12707 Muroc St, Norwalk",90650,3,1,1149,720000
"12743 Larwin Rd, Norwalk",90650,3,1,1144,705000
"12816 Hoback St, Norwalk",90650,3,2,1200,762000
"13839 Wilder Ave, Norwalk",90650,3,2,1193,705
"13823 Roper Ave, Norwalk",90650,3,1,1236,720000
"11917 Lyndora St, Norwalk",90650,3,2,1872,710000
"12645 Paddison Ave, Norwalk",90650,3,2,1112,613000
"13402 Markdale Ave, Norwalk",90650,2,1,768,620000
"13303 Volunteer Ave, Norwalk",90650,2,1,768,640000
"13408 Thistle Ave, Norwalk",90650,2,1,749,505
"13322 Thistle Ave, Norwalk",90650,3,2,1152,630000
"12922 Goller Ave, Norwalk",90650,3,2,1662,630000
"13130 Avonlea Ave, Norwalk",90650,2,2,1049,612500
"12513 Dace St, Norwalk",90650,2,1,768,570000
"12520 Dare St, Norwalk",90650,4,2,1616,750000
"13502 Markdale Ave, Norwalk",90650,3,1,1052,741000
"12633 Graystone Ave, Norwalk",90650,3,1,977,675000
"12642 Longworth Ave, Norwalk",90650,3,1,977,715000
"12809 Gridley Rd, Norwalk",90650,1,1,624,560000
"13216 Flallon Ave, Norwalk",90650,4,2,1676,751000
"13309 Alburtis Ave, Norwalk",90650,3,2,1414,695000
"13205 Jersey Ave, Norwalk",90650,2,1,800,625000
"11446 Littchen St, Norwalk",90650,3,1,909,605
"11434 Angell St, Norwalk",90650,2,1,801,595000
"11406 Ratliffe St, Norwalk",90650,2,2,953,585000
"11313 Foster Rd, Norwalk",90650,4,2,1676,785000
"13003 Halcourt Ave, Norwalk",90650,3,2,1110,775000
"13318 Halcourt Ave, Norwalk",90650,2,1,856,550000
"10909 Angell St, Norwalk",90650,4,2,1430,710000
"10914 Maza St, Norwalk",90650,3,1,1110,710000
"10906 Littchen St, Norwalk",90650,3,2,1543,755000
"13219 Crossdale Ave, Norwalk",90650,3,1,999,505
"13308 Elmcroft Ave, Norwalk",90650,2,1,805,605
"12723 Dalwood Ave, Norwalk",90650,3,2,1241,665000
"11045 Borson St, Norwalk",90650,3,2,1571,740000
"12622 Crossdale Ave, Norwalk",90650,3,2,1207,550000
"10527 Cheddar St, Norwalk",90650,3,1,1136,650000
"10521 Cheddar St, Norwalk",90650,3,2,1240,760000
"13218 Newmire Ave, Norwalk",90650,3,2,1478,752000
"12805 Curtis And King Rd, Norwalk",90650,3,2,1108,620000
"12702 Domart Ave, Norwalk",90650,3,1,1034,630000
"13230 Domart Ave, Norwalk",90650,4,3,2200,905
"13929 Lefloss Ave, Norwalk",90650,2,2,1142,720000
"14048 Lefloss Ave, Norwalk",90650,3,2,1383,708000
"10876 Tonibar St, Norwalk",90650,3,1,1062,645000
"14034 Leibacher Ave, Norwalk",90650,3,2,1600,731500
"14002 Leibacher Ave, Norwalk",90650,3,2,1406,760000
"13441 Halcourt Ave, Norwalk",90650,4,2,1816,685000
"13926 Dumont Ave, Norwalk",90650,3,1,1105,665000
"13937 Dumont Ave, Norwalk",90650,3,1,1271,710000
"14042 Behrens Ave, Norwalk",90650,3,2,1330,675000
"13618 Behrens Ave, Norwalk",90650,3,2,1199,715000
"13627 Flatbush Ave, Norwalk",90650,3,2,1222,605000
"10627 Briar St, Norwalk",90650,4,2,1440,740000
"13623 Benfield Ave, Norwalk",90650,4,2,1542,750000
"11114 Foster Rd, Norwalk",90650,3,1,1008,725000
"13538 Crossdale Ave, Norwalk",90650,3,2,1552,758000
"11232 Foster Rd, Norwalk",90650,3,1,1008,650000
"13622 Longworth Ave, Norwalk",90650,3,1,996,610000
"13612 Longworth Ave, Norwalk",90650,2,1,749,680000
"13823 Longworth Ave, Norwalk",90650,2,1,744,559000
"13805 Graystone Ave, Norwalk",90650,2,1,749,635000
"11033 Belfair St, Norwalk",90650,3,1,958,645000
"13907 Fairford Ave, Norwalk",90650,2,1,744,660000
"14118 Fairford Ave, Norwalk",90650,2,1,781,640000
"13922 Graystone Ave, Norwalk",90650,3,2,1503,745000
