"address","zip_code","num_bed","num_bath","home_area","price"
"4668 Forman Avenue Toluca Lake",91602,5,4,4270,3195000
"1342 Appleton Way Venice",90291,3,5,4703,6325000
"2620 Wallingford Drive Beverly Hills",90210,8,1,9749,19500000
"11009 Odell Avenue Sunland",91040,3,4,2334,1400000
"18047 Blue Sail Drive Pacific Palisades",90272,5,4,4306,5895000
"814 Toulon Drive Pacific Palisades",90272,6,5,8008,23995000
"2242 Highland Vista Drive Arcadia",91006,4,3,2302,2499995
"1490 North San Remo Drive Pacific Palisades",90272,5,6,8500,19999000
"1142 Charm Acres Place Pacific Palisades",90272,5,5,4300,6850000
"23121 Ostronic Drive Woodland Hills",91367,4,3,2803,1788000
"335 5th Avenue Venice",90291,3,2,1700,1990000
"16551 Calneva Drive Encino",91436,5,3,3365,2820000
"3001 Grand Canal Venice",90291,4,3,2901,3575000
"318 Bellino Drive Pacific Palisades",90272,5,6,4200,6995000
"12334 Cantura Street Studio City",91604,4,4,3255,3450000
"25216 Prado De Rosado Calabasas",91302,5,6,6797,6499000
"2175 Summitridge Drive Beverly Hills",90210,5,6,8535,9500000
"51 Beverly Park Way Beverly Hills",90210,9,1,16225,48500000
"463 Wynola Street Pacific Palisades",90272,7,7,7698,7995000
"23 Beverly Park Terrace Beverly Hills",90210,9,1,28000,74000000
"5988 West 76th Street Los Angeles",90045,5,5,4427,3777000
"17043 Sherman Way Lake Balboa",91406,4,3,2557,1059950
"1124 Summit Drive Beverly Hills",90210,3,3,3000,7995000
"444 Ocean View Avenue Hermosa Beach",90254,1,2,1319,1999000
"615 23rd Street Santa Monica",90402,7,7,7000,14995000
"129 Le Doux Road Beverly Hills",90211,4,5,3954,3495000
"11972 Lockridge Road Studio City",91604,6,8,10100,11999000
"934 Amoroso Place Venice",90291,4,3,2556,3295000
"1423 Abbot Kinney Boulevard Venice",90291,1,1,1680,5250000
"1843 West 152nd Street Gardena",90249,2,1,682,749988
"1565 Kelton Avenue Los Angeles",90024,3,2,2157,2399000
"4930 Edgerton Avenue Encino",91436,5,5,5379,4749000
"667 Santa Clara Avenue Venice",90291,6,4,3993,3350000
